,T_id,doi,title,abstract,authors,year,publisher,relevant
1658,TA002010,10.3390/molecules25112589,Mutagenesis and Adaptation of the Psychrotrophic Fungus Chrysosporium pannorumA-1 as a Method for Improving β-pinene Bioconversion.,"Mutagenesis and adaptation of the psychrotrophic fungus Chrysosporium pannorumA-1 to the toxic substrate β-pinene were used to obtain a biocatalyst withincreased resistance to this terpene and improved bioconversion properties.Mutants of the parental strain were induced with UV light andN-methyl-N'-nitro-N-nitrosoguanidine. Mutants resistant to β-pinene were isolatedusing agar plates with a linear gradient of substrate concentrations. Activemutants were selected based on their general metabolic activity (GMA) expressedas oxygen consumption rate. Compared to the parental strain, the most activemutant showed an enhanced biotransformation ability to convert β-pinene totrans-pinocarveol (315 mg per g of dry mycelium), a 4.3-fold greater biocatalyticactivity, and a higher resistance to H(2)O(2)-induced oxidative stress.Biotransformation using adapted mutants yielded twice as much trans-pinocarveolas the reaction catalyzed by non-adapted mutants. The results indicate thatmutagenesis and adaptation of C. pannorum A-1 is an effective method of enhancingβ-bioconversion of terpenes.","Kutyła, Mateusz, Fiedurek, Jan, Gromada, Anna, Jędrzejewski, Krzysztof, Trytek, Mariusz",2020,"Molecules (Basel, Switzerland)",2
1828,TA002243,10.3390/ijms22020605,Biochemical Characterization and Function of Eight Microbial Type TerpeneSynthases from Lycophyte Selaginella moellendorffii.,"Selaginella moellendorffii is a lycophyte, a member of an ancient vascular plantlineage. Two distinct types of terpene synthase (TPS) genes were identified fromthis species, including S. moellendorffii TPS genes (SmTPSs) and S.moellendorffii microbial TPS-like genes (SmMTPSLs). The goal of this study was toinvestigate the biochemical functions of SmMTPSLs. Here, eight full-lengthSmMTPSL genes (SmMTPSL5, -15, -19, -23, -33, -37, -46, and -47) were functionallycharacterized from S. moellendorffii. Escherichia coli-expressed recombinantSmMTPSLs were tested for monoterpenes synthase and sesquiterpenes synthaseactivities. These enzymatic products were typical monoterpenes and sesquiterpenesthat have been previous shown to be generated by typical plant TPSs when providedwith geranyl diphosphate (GPP) and farnesyl diphosphate (FPP) as the substrates.Meanwhile, SmMTPSL23, -33, and -37 were up-regulated when induced by alamethicin(ALA) and methyl jasmonate (MeJA), suggesting a role for these genes in plantsresponse to abiotic stresses. Furthermore, this study pointed out that theterpenoids products of SmMTPSL23, -33, and -37 have an antibacterial effect onPseudomonas syringae pv. tomato DC3000 and Staphylococcus aureus. Taken together,these results provide more information about the catalytic and biochemicalfunction of SmMTPSLs in S. moellendorffii plants.","Zhao, Yapei, Hu, Tian, Liu, Ruiqi, Hao, Zhiqiang, Liang, Guoyan, Li, Guanglin",2021,International journal of molecular sciences,2
1846,TA002278,10.2147/IJN.S274290,Development and Optimization of Terpene-Enriched Vesicles (Terpesomes) forEffective Ocular Delivery of Fenticonazole Nitrate: In vitro Characterization andin vivo Assessment.,"OBJECTIVE: The aim of the current study was to load fenticonazole nitrate, aslightly water-soluble antifungal agent, into terpene-enriched phospholipidvesicles (terpesomes) as a potential delivery system for the management of ocularfungal infection. METHODS: Thin film hydration method was used to prepareterpesomes according to a 3(2) full factorial design to inspect the effect ofseveral variables on vesicles' features. The investigated factors were terpenestype (X(1)) and terpenes amount (X(2)) while the dependent responses wereencapsulation efficiency percent (Y(1)), particle size (Y(2)) and polydispersityindex (Y(3)). Design Expert(®) program was used to chose the best achievedformula. The selected terpesomes were further optimized via incorporation of apositive charge inducer (stearylamine) to enhance adhesion to the negativelycharged mucus covering the eye surface. The in vivo performance of the optimizedfenticonazole nitrate-loaded terpesomes relative to drug suspension was evaluatedby measuring the antifungal activity (against Candida albicans) retained in thetear's fluid at different time intervals after ocular application in albinorabbits. RESULTS: The optimized terpesomes showed spherical vesicles withentrapment efficiency of 79.02±2.35%, particle size of 287.25±9.55 nm,polydispersity index of 0.46±0.01 and zeta potential of 36.15±1.06 mV. The invivo study demonstrated significantly higher ocular retention of the optimizedfenticonazole nitrate-loaded terpesomes relative to the drug suspension.Moreover, the histopathological studies proved the safety and biocompatibility ofthe prepared terpesomes. CONCLUSION: The obtained results verified the potentialof the terpesomes for safe and effective ocular delivery of fenticonazolenitrate.","Albash, Rofida, Al-Mahallawi, Abdulaziz Mohsen, Hassan, Mariam, Alaa-Eldin, Ahmed Adel",2021,International journal of nanomedicine,2
1982,TA002480,10.3390/metabo14090472,The Legacy Effect of Mountain Pine Beetle Outbreaks on the Chemical andAnatomical Defences of Surviving Lodgepole Pine Trees.,"The recent mountain pine beetle outbreaks have caused widespread mortality amonglodgepole pine trees in western North America, resulting in a reduced populationof surviving trees. While previous studies have focused on the cascading impactsof these outbreaks on the physiology and growth of the surviving trees, thereremains a need for a comprehensive study into the interactions among variousphysiological traits and the growth in post-outbreak stands. Specifically, therelationship between chemical (primarily terpenes) and anatomical (mainly resinducts) defences, as well as the allocation of non-structural carbohydrates (NSCs)to support these defence modalities, is poorly understood. To address these gaps,we conducted a field survey of surviving lodgepole pine trees in post-mountainpine beetle outbreak stands in western Canada. Our retrospective analysis aimedat determining correlations between the post-outbreak concentrations ofmonoterpenes, diterpenes, and NSCs in the phloem and the historical resin ductcharacteristics and growth traits before and after the outbreak. We detectedstrong correlations between the post-outbreak concentrations of monoterpenes andhistorical resin duct characteristics, suggesting a possible link between thesetwo defence modalities. Additionally, we found a positive relationship betweenthe NSCs and the total concentrations of monoterpenes and diterpenes, suggestingthat NSCs likely influence the production of these terpenes in lodgepole pine.Furthermore, historical tree growth patterns showed strong positive correlationswith many individual monoterpenes and diterpenes. Interestingly, while survivingtrees had enhanced anatomical defences after the outbreak, their growth patternsdid not vary before and after the outbreak conditions. The complexity of theserelationships emphasizes the dynamics of post-outbreak stand dynamics andresource allocations in lodgepole pine forests, highlighting the need for furtherresearch. These findings contribute to a broader understanding of coniferdefences and their coordinated responses to forest insect outbreaks, withimplications for forest management and conservation strategies.","Baker, Gigi, Zhao, Shiyang, Klutsch, Jennifer G, Ishangulyyeva, Guncha, Erbilgin, Nadir",2024,Metabolites,2
2374,TA003086,10.1186/s12866-016-0693-8,The anaerobic linalool metabolism in Thauera linaloolentis 47 Lol.,"BACKGROUND: The betaproteobacterium Thauera linaloolentis 47Lol(T) was isolatedon the tertiary monoterpene alcohol (R,S)-linalool as sole carbon and energysource under denitrifying conditions. Growth experiments indicated the formationof geraniol and geranial. Thus, a 3,1-hydroxyl-Δ(1)-Δ(2)-mutase (linaloolisomerase) activity may initiate the degradation, followed by enzymes of theacyclic terpene utilization (Atu) and leucine/isovalerate utilization (Liu)pathways that were extensively studied in Pseudomonas spp. growing on citronellolor geraniol. RESULTS: A transposon mutagenesis yielded 39 transconjugants thatcould not grow anaerobically on linalool and nitrate in liquid medium. Thedeficiencies were apparently based on gene functions required to overcome thetoxicity of linalool, but not due to inactivation of genes in the degradationpathway. Growing cultures formed geraniol and geranial transiently, but alsogeranic acid. Analysis of expressed proteins detected several enzymes of the Atuand Liu pathways. The draft genome of T. linaloolentis 47Lol(T) had atu and liugenes with homology to those of Pseudomonas spp.. CONCLUSION: The in comparisonto monoterpenes larger toxicity of monoterpene alcohols is defeated by severalmodifications of the cellular structure and metabolism in Thauera linaloolentis47Lol(T). The acyclic terpene utilization pathway is used in T. linaloolentis47Lol(T) during growth on (R,S)-linalool and nitrate under anoxic conditions.This is the first experimental verification of an active Atu pathway outside ofthe genus Pseudomonas.","Marmulla, Robert, Cala, Edinson Puentes, Markert, Stephanie, Schweder, Thomas, Harder, Jens",2016,BMC microbiology,2
2705,TA003702,10.1155/2012/342652,In Vitro Cytotoxic Potential of Essential Oils of Eucalyptus benthamii and ItsRelated Terpenes on Tumor Cell Lines.,"Eucalyptus L. is traditionally used for many medicinal purposes. In particular,some Eucalyptus species have currently shown cytotoxic properties. LocalBrazilian communities have used leaves of E. benthamii as a herbal remedy forvarious diseases, including cancer. Considering the lack of available data forsupporting this cytotoxic effect, the goal of this paper was to study the invitro cytotoxic potential of the essential oils from young and adult leaves of E.benthamii and some related terpenes (α-pinene, terpinen-4-ol, and γ-terpinene) onJurkat, J774A.1 and HeLa cells lines. Regarding the cytotoxic activity based onMTT assay, the essential oils showed improved results than α-pinene andγ-terpinene, particularly for Jurkat and HeLa cell lines. Terpinen-4-ol revealeda cytotoxic effect against Jurkat cells similar to that observed for volatileoils. The results of LDH activity indicated that cytotoxic activity of samplesagainst Jurkat cells probably involved cell death by apoptosis. The decrease ofcell DNA content was demonstrated due to inhibition of Jurkat cells proliferationby samples as a result of cytotoxicity. In general, the essential oils from youngand adult leaves of E. benthamii presented cytotoxicity against the investigatedtumor cell lines which confirms their antitumor potential.","Döll-Boscardin, Patrícia Mathias, Sartoratto, Adilson, Sales Maia, Beatriz Helena Lameiro de Noronha, Padilha de Paula, Josiane, Nakashima, Tomoe, Farago, Paulo Vitor, Kanunfre, Carla Cristine",2012,Evidence-based complementary and alternative medicine : eCAM,2
4361,TA007083,10.3390/molecules23020299,Terretonin N: A New Meroterpenoid from Nocardiopsis sp.,"Terretonin N (1), a new highly oxygenated and unique tetracyclic6-hydroxymeroterpenoid, was isolated together with seven known compounds from theethyl acetate extract of a solid-state fermented culture of Nocardiopsis sp.Their structures were elucidated by spectroscopic analysis. The structure andabsolute configuration of 1 were unambiguously determined by X-raycrystallography. The isolation and taxonomic characterization of Nocardiopsis sp.is reported. The antimicrobial activity and cytotoxicity of the strain extractand compound 1 were studied using different microorganisms and a cervix carcinomacell line, respectively.","Hamed, Abdelaaty, Abdel-Razek, Ahmed S, Frese, Marcel, Stammler, Hans Georg, El-Haddad, Atef F, Ibrahim, Tarek M A, Sewald, Norbert, Shaaban, Mohamed",2018,"Molecules (Basel, Switzerland)",2
6557,TA011734,10.1002/cbic.202100465,Engineering of a Plant Isoprenyl Diphosphate Synthase for Development ofIrregular Coupling Activity.,"We performed mutagenesis on a regular isoprenyl diphosphate synthase (IDS), neryldiphosphate synthase from Solanum lycopersicum (SlNPPS), that has a structurallyrelated analogue performing non-head-to-tail coupling of two dimethylallyldiphosphate (DMAPP) units, lavandulyl diphosphate synthase from Lavandula xintermedia (LiLPPS). Wild-type SlNPPS catalyses regular coupling of isopentenyldiphosphate (IPP) and DMAPP in cis-orientation resulting in the formation ofneryl diphosphate. However, if the enzyme is fed with DMAPP only, it is able tocatalyse the coupling of two DMAPP units and synthesizes two irregularmonoterpene diphosphates; their structures were elucidated by the NMR analysis oftheir dephosphorylation products. One of the alcohols is lavandulol. The secondcompound is the trans-isomer of planococcol, the first example of an irregularcyclobutane monoterpene with this stereochemical configuration. The irregularactivity of SlNPPS constitutes 0.4 % of its regular activity and is revealed onlyif the enzyme is supplied with DMAPP in the absence of IPP. The exchange ofasparagine 88 for histidine considerably enhanced the non-head-to-tail coupling.While still only observed in the absence of IPP, irregular activity of the mutantreaches 13.1 % of its regular activity. The obtained results prove that regularIDS are promising starting points for protein engineering aiming at thedevelopment of irregular activities and leading to novel monoterpene structures.","Gerasymenko, Iryna, Sheludko, Yuriy V, Navarro Fuertes, Ismael, Schmidts, Volker, Steinel, Lara, Haumann, Elisabeth, Warzecha, Heribert",2022,Chembiochem : a European journal of chemical biology,2
9100,TA016117,10.3390/molecules25010158,Meroterpenoids from the Fungus Ganoderma sinensis and First AbsoluteConfiguration Clarification of Zizhine H.,"Five new meroterpenoids, zizhines P-S and U (1-4,7), together with two knownmeroterpenoids (5 and 6) were isolated from Ganoderma sinensis. Their structuresincluding absolute configurations were assigned by using spectroscopic,computational, and chemical methods. Racemics zizhines P and Q were purified byHPLC on chiral phase. Biological evaluation found that 4, 5 and 6 are cytotoxictoward human cancer cells (A549, BGC-823, Kyse30) with IC(50) values in the rangeof 63.43-80.83 μM towards A549, 59.2 ± 2.73 μM and 64.25 ± 0.37 μM towardsBGC-823, 76.28 ± 1.93 μM and 85.42 ± 2.82 μM towards Kyse30.","Yin, Yan-Jiao, Huang, Dan-Ling, Qiu, Bin, Cai, Dan, Zhang, Jiao-Jiao, Wang, Shao-Xiang, Qin, Da-Peng, Cheng, Yong-Xian",2019,"Molecules (Basel, Switzerland)",2
9325,TA016506,10.1080/21655979.2022.2054205,Terpinen-4-ol inhibits the proliferation and mobility of pancreatic cancer cellsby downregulating Rho-associated coiled-coil containing protein kinase 2.,"Terpinen-4-ol (T4O), a compound isolated from the seeds of turmeric, hasexhibited anti-malignancy, anti-aging, and anti-inflammatory properties inprevious studies. However, the specific effects and molecular mechanisms of T4Oon pancreatic cancer (PC) cells remain largely unknown. In this study, wedemonstrated that T4O markedly suppressed PC cell proliferation and colonyformation in vitro and induced apoptosis. Similarly, T4O significantly inhibitedthe migration and invasion of PC cells in vitro. Through RNA sequencing, 858differentially expressed genes (DEGs) were identified, which were enriched in theRhodopsin (RHO)/ Ras homolog family member A (RHOA) signaling pathway.Rho-associated coiled-coil containing protein kinase 2 (ROCK2), a DEG enriched inthe RHO/RHOA signaling pathway, was considered as a key target of T4O in PCcells; it was significantly reduced after T4O treatment, highly expressed in PCtissues, and negatively associated with patient outcome. Overexpression of ROCK2significantly reduced the inhibitory effects of T4O on PC cell proliferation andmobility. Moreover, T4O inhibited cell proliferation in vivo and decreased theKi-67, cell nuclear antigen, EMT markers, and ROCK2 expression. In conclusion, weconsider that T4O can suppress the malignant biological behavior of PC byreducing the expression of ROCK2, thus contributing to PC therapy.","Cao, Wenpeng, Tian, Ruhua, Pan, Runsang, Sun, Baofei, Xiao, Chaolun, Chen, Yunhua, Zeng, Zhirui, Lei, Shan",2022,Bioengineered,2
